medium_videos Normal
project_videos\medium\Normal\20231116_210252000_iOS.MOV
fitted_incoming_vx,fitted_incoming_vy,fitted_outgoing_vx,fitted_outgoing_vy,ball_x_distance,incoming_angle,outgoing_angle
-1.4835880998680195,1.029843988210087,-0.42838677857286395,-1.326260891444495,12.2,39.78,37.29
-1.755172566176165,1.2961224306447305,-0.42184281804685725,-1.2877556280701243,-1.0,-1.0,-1.0
-1.6034641478897305,1.1895346115643624,-0.4154325453935138,-1.2501204166533713,-1.0,-1.0,-1.0
-1.455615543140613,1.085238575857861,-0.4091548321214928,-1.2133438285364848,-1.0,-1.0,-1.0
-1.5000477644928143,1.1503136300390027,-0.40300854973945327,-1.1774144350617137,-1.0,-1.0,-1.0
-1.7481849727034011,1.3971510486699625,-0.3969925697560544,-1.1423208075713074,-1.0,-1.0,-1.0
-2.0961893104834592,1.7368447807848082,-0.39110576367995536,-1.1080515174075147,-1.0,-1.0,-1.0
-2.3866957362590733,2.032582156313008,-0.3853470030198153,-1.074595135912585,-1.0,-1.0,-1.0
-2.4705468579322414,2.153034592502908,-0.3797151592842932,-1.041940234428767,-1.0,-1.0,-1.0
-2.268527766641901,2.025748300345274,-0.3742091039820485,-1.01007538429831,-1.0,-1.0,-1.0
-1.833100870524839,1.6905349909967144,-0.3688277086217401,-0.9789891568634626,-1.0,-1.0,-1.0
-1.4101407284766345,1.3528625822032827,-0.3635698447120272,-0.9486701234664744,-1.0,-1.0,-1.0
-1.5006688839126667,1.4372459047238362,-0.358434383761569,-0.9191068554495941,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3534201972790246,-0.890287924155071,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3485261567730531,-0.862201900925154,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3437511337523137,-0.8348373571020922,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3390939997254655,-0.8081828640281346,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3345536262011677,-0.7822269930455302,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3301288846880794,-0.7569583154965283,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3258186466948597,-0.7323654027233777,-1.0,-1.0,-1.0
-1.0,-1.0,-0.32162178373016787,-0.7084368260683276,-1.0,-1.0,-1.0
-1.0,-1.0,-0.31753716730266296,-0.6851611568736269,-1.0,-1.0,-1.0
-1.0,-1.0,-0.31356366892100407,-0.6625269664815248,-1.0,-1.0,-1.0
-1.0,-1.0,-0.3097001600938505,-0.6405228262342703,-1.0,-1.0,-1.0
-1.0,-1.0,-0.30594551232986117,-0.6191373074741123,-1.0,-1.0,-1.0
-1.0,-1.0,-0.30229859713769536,-0.5983589815433001,-1.0,-1.0,-1.0
-1.0,-1.0,-0.29875828602601223,-0.5781764197840827,-1.0,-1.0,-1.0
-1.0,-1.0,-0.29532345050347086,-0.558578193538709,-1.0,-1.0,-1.0
-1.0,-1.0,-0.29199296207873043,-0.5395528741494282,-1.0,-1.0,-1.0
-1.0,-1.0,-0.28876569226045,-0.5210890329584894,-1.0,-1.0,-1.0
-1.0,-1.0,-0.28564051255728884,-0.5031752413081414,-1.0,-1.0,-1.0
-1.0,-1.0,-0.28261629447790604,-0.48580007054063346,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2796919095309607,-0.46895209199821464,-1.0,-1.0,-1.0
-1.0,-1.0,-0.27686622922511195,-0.4526198770231338,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2741381250690191,-0.43679199695764015,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2715064685713411,-0.4214570231439827,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2689701312407371,-0.4066035269244107,-1.0,-1.0,-1.0
-1.0,-1.0,-0.26652798458586635,-0.3922200796411728,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2641789001153879,-0.3782952526365183,-1.0,-1.0,-1.0
-1.0,-1.0,-0.261921749337961,-0.36481761725269646,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2597554037622446,-0.3517757448319556,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2576787348968981,-0.33915820671654584,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2556906142505804,-0.3269535742487152,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2537899133319508,-0.31515041877071326,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2519755036496683,-0.303737311624789,-1.0,-1.0,-1.0
-1.0,-1.0,-0.25024625671239226,-0.2927028241531917,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2486010440287816,-0.28203552769816986,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24703873710749558,-0.2717239936019731,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24555820745719334,-0.2617567932068501,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24415832658653397,-0.25212249785505003,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24283796600417665,-0.2428096788888221,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24159599721878047,-0.233806907650415,-1.0,-1.0,-1.0
-1.0,-1.0,-0.24043129173900465,-0.22510275548207814,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2393427210735083,-0.21668579372606023,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23832915673095054,-0.20854459372461065,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2373894702199905,-0.20066772681997813,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23652253304928736,-0.19304376435441228,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23572721672750024,-0.18566127767016138,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2350023927632883,-0.17850883810947527,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23434693266531068,-0.1715750170146022,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2337597079422265,-0.1648483857277918,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23323959010269496,-0.15831751559129326,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2327854506553751,-0.1519709779473548,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23239616110892614,-0.14579734413822631,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2320705929720072,-0.13978518550615626,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2318076177532774,-0.13392307339339427,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23160610696139589,-0.12819957914218882,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23146493210502186,-0.1226032740947891,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23138296469281439,-0.11712272959344516,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23135907623343266,-0.11174651698040416,-1.0,-1.0,-1.0
-1.0,-1.0,-0.2313921382355358,-0.10646320759791661,-1.0,-1.0,-1.0
-1.0,-1.0,-0.23148102220778294,-0.10126137278823122,-1.0,-1.0,-1.0
